time,gFx,gFy,gFz,TgF
2.471017,0.3253,-0.4044,-0.8513,1.00
2.504113,0.3239,-0.4027,-0.8538,1.00
2.522050,0.3230,-0.4056,-0.8552,1.00
2.542538,0.3239,-0.4019,-0.8538,1.00
2.555552,0.3209,-0.4051,-0.8557,1.00
2.570716,0.3160,-0.4027,-0.8571,1.00
2.603794,0.3141,-0.4059,-0.8606,1.00
2.621971,0.3127,-0.4076,-0.8620,1.00
2.648455,0.3168,-0.4059,-0.8550,1.00
2.654162,0.3153,-0.4059,-0.8574,1.00
2.687509,0.3160,-0.4012,-0.8564,1.00
2.703539,0.3160,-0.4044,-0.8569,1.00
2.720338,0.3168,-0.4044,-0.8587,1.00
2.741098,0.3178,-0.4059,-0.8589,1.00
2.754301,0.3173,-0.4076,-0.8584,1.00
2.787437,0.3151,-0.4059,-0.8562,1.00
2.805278,0.3124,-0.4039,-0.8564,1.00
2.820313,0.3114,-0.4014,-0.8579,1.00
2.844186,0.3097,-0.4051,-0.8608,1.00
2.855579,0.3102,-0.4047,-0.8596,1.00
2.887666,0.3088,-0.3946,-0.8647,1.00
2.903891,0.3119,-0.4054,-0.8579,1.00
2.920056,0.3088,-0.4059,-0.8638,1.00
2.943300,0.3085,-0.4024,-0.8603,1.00
2.969803,0.3065,-0.4044,-0.8620,1.00
2.988416,0.3070,-0.4039,-0.8638,1.00
3.003463,0.3060,-0.4042,-0.8657,1.00
3.020520,0.3060,-0.4030,-0.8647,1.00
3.040165,0.3046,-0.4022,-0.8622,1.00
3.071375,0.3007,-0.4042,-0.8650,1.00
3.085911,0.3032,-0.4037,-0.8671,1.00
3.103251,0.3053,-0.4054,-0.8694,1.01
3.119331,0.3100,-0.4056,-0.8645,1.00
3.145322,0.3100,-0.3991,-0.8501,0.99
3.169596,0.3026,-0.3961,-0.8645,1.00
3.186454,0.2990,-0.3998,-0.8723,1.01
3.203056,0.2990,-0.4037,-0.8711,1.01
3.223165,0.2970,-0.4063,-0.8679,1.00
3.240463,0.2995,-0.4115,-0.8657,1.00
3.269822,0.2976,-0.3970,-0.8620,0.99
3.286709,0.3053,-0.4059,-0.8582,1.00
3.303402,0.3019,-0.4014,-0.8667,1.00
3.322814,0.3039,-0.3983,-0.8608,1.00
3.354032,0.3026,-0.4022,-0.8647,1.00
3.369423,0.3034,-0.4032,-0.8664,1.00
3.385962,0.3026,-0.4051,-0.8657,1.00
3.408005,0.3053,-0.4030,-0.8640,1.00
3.438872,0.3023,-0.4000,-0.8664,1.00
3.452211,0.3021,-0.4019,-0.8682,1.00
3.469279,0.3023,-0.4024,-0.8635,1.00
3.485555,0.3034,-0.4035,-0.8643,1.00
3.524025,0.3058,-0.4014,-0.8615,1.00
3.536746,0.3095,-0.4022,-0.8571,1.00
3.551777,0.3109,-0.4019,-0.8559,1.00
3.569701,0.3088,-0.4022,-0.8520,0.99
3.585495,0.3109,-0.4037,-0.8557,1.00
3.619829,0.3085,-0.4071,-0.8643,1.00
3.642868,0.3051,-0.4039,-0.8674,1.00
3.654765,0.3058,-0.4035,-0.8652,1.00
3.668854,0.3039,-0.4047,-0.8655,1.00
